city_council	ad_ed	total_reg_dems
22	30-035	11
22	30-060	1150
22	30-061	705
22	30-063	2
22	30-064	576
22	30-078	716
22	30-079	8
22	30-082	646
22	34-010	875
22	34-011	859
22	34-035	3
22	34-036	3
22	34-037	2
22	34-039	1108
22	34-040	942
22	34-041	1113
22	34-042	902
22	34-073	795
22	35-049	727
22	35-050	1114
22	35-058	0
22	35-059	0
22	36-001	1027
22	36-002	881
22	36-003	730
22	36-004	938
22	36-005	740
22	36-006	897
22	36-007	479
22	36-008	572
22	36-009	709
22	36-010	1045
22	36-011	1192
22	36-012	1035
22	36-013	805
22	36-014	983
22	36-015	1183
22	36-016	1029
22	36-017	694
22	36-018	990
22	36-019	1146
22	36-020	986
22	36-021	1211
22	36-022	1208
22	36-023	953
22	36-024	1095
22	36-025	1000
22	36-027	1095
22	36-029	1025
22	36-030	1135
22	36-031	996
22	36-032	969
22	36-033	644
22	36-034	981
22	36-035	723
22	36-036	990
22	36-037	1139
22	36-038	986
22	36-039	997
22	36-040	1223
22	36-041	1200
22	36-042	1041
22	36-043	246
22	36-045	1233
22	36-046	883
22	36-047	932
22	36-048	900
22	36-049	1089
22	36-050	277
22	36-051	78
22	36-052	1056
22	36-053	1243
22	36-054	1098
22	36-055	1266
22	36-056	1234
22	36-057	898
22	36-058	853
22	36-059	1094
22	36-060	782
22	36-061	1238
22	36-062	894
22	36-063	1087
22	36-064	28
22	36-066	1162
22	36-067	999
22	36-071	0
22	36-072	1203
22	36-073	1093
22	36-074	1068
22	36-075	862
22	36-076	891
22	36-077	1225
22	36-078	766
22	36-079	670
22	36-080	919
22	36-081	1177
22	36-082	887
22	36-083	933
22	37-001	1210
22	37-002	1125
22	37-003	1356
22	37-004	1328
22	37-072	0
22	37-073	0
22	85-035	3
22	85-073	0
22	85-079	0
