city_council	ad_ed	total_reg_dems
23	24-001	691
23	24-002	1114
23	24-003	968
23	24-004	780
23	24-005	1020
23	24-006	1050
23	24-007	1023
23	24-008	665
23	24-009	85
23	24-010	601
23	24-011	826
23	24-012	173
23	24-013	892
23	24-014	691
23	24-015	709
23	24-016	686
23	24-017	1265
23	24-018	668
23	24-019	1090
23	24-020	1099
23	24-021	1093
23	24-022	794
23	24-023	196
23	24-024	946
23	24-025	816
23	24-027	1094
23	24-028	1091
23	24-029	1002
23	24-030	1119
23	24-031	705
23	24-032	588
23	24-059	914
23	24-061	711
23	24-080	0
23	24-083	0
23	24-084	1022
23	24-089	820
23	24-091	715
23	25-016	852
23	25-017	950
23	25-018	967
23	25-019	968
23	25-020	991
23	25-021	833
23	25-022	1318
23	25-023	704
23	25-024	1218
23	25-025	1170
23	25-026	144
23	25-027	1036
23	25-028	1235
23	25-029	1035
23	25-058	1224
23	25-065	943
23	25-066	137
23	25-067	0
23	25-071	587
23	25-072	935
23	25-075	732
23	25-077	476
23	26-040	844
23	26-042	777
23	26-043	672
23	26-044	682
23	26-045	887
23	26-046	1101
23	26-047	953
23	26-048	1190
23	26-049	1025
23	26-050	5
23	26-071	765
23	26-072	1136
23	26-073	727
23	26-074	897
23	26-075	1077
23	26-076	951
23	26-078	0
23	26-084	742
23	29-012	37
23	29-036	921
23	29-037	933
23	29-038	1049
23	29-039	972
23	29-076	1083
23	33-001	1121
23	33-002	1090
23	33-003	1059
23	33-004	986
23	33-005	1151
23	33-006	1150
23	33-007	1075
23	33-008	1133
23	33-009	1120
23	33-010	1025
23	33-011	1144
23	33-012	1161
23	33-013	1172
23	33-014	1170
23	33-015	1114
23	33-016	205
23	33-017	1180
23	33-018	1078
23	33-019	1142
23	33-020	1199
23	33-021	1232
23	33-022	1133
23	33-023	1111
23	33-024	1006
23	33-025	1281
23	33-026	1236
23	33-027	988
23	33-028	1014
23	33-074	1095
23	33-075	1144
23	33-076	947
