city_council	ad_ed	total_reg_dems
39	42-001	125
39	42-002	1
39	42-004	4
39	42-005	2
39	42-006	6
39	42-012	6
39	42-014	3
39	42-015	1
39	42-027	1
39	42-033	2
39	42-034	7
39	42-035	3
39	42-055	7
39	42-068	1
39	42-075	66
39	42-081	7
39	44-001	1169
39	44-002	702
39	44-003	1286
39	44-004	1025
39	44-005	933
39	44-006	1372
39	44-007	922
39	44-008	767
39	44-010	1215
39	44-011	661
39	44-012	5
39	44-013	875
39	44-014	1186
39	44-015	1038
39	44-016	987
39	44-017	939
39	44-018	1101
39	44-019	1372
39	44-020	1171
39	44-024	2
39	44-028	2
39	44-029	1
39	44-034	7
39	44-035	16
39	44-036	4
39	44-037	1
39	44-038	3
39	44-039	1
39	44-042	1333
39	44-043	2
39	44-044	711
39	44-045	1115
39	44-046	1
39	44-048	1
39	44-049	909
39	44-050	1046
39	44-051	1250
39	44-052	1253
39	44-053	1156
39	44-054	1095
39	44-055	982
39	44-056	993
39	44-057	1169
39	44-058	987
39	44-059	1130
39	44-060	994
39	44-061	580
39	44-062	770
39	44-063	835
39	44-064	427
39	44-066	14
39	44-067	2
39	44-068	1040
39	44-069	689
39	44-070	749
39	44-071	985
39	44-072	1074
39	44-073	1116
39	44-074	1022
39	44-075	1018
39	44-076	1061
39	44-077	1006
39	44-078	1219
39	44-079	1025
39	44-080	813
39	44-081	1292
39	44-082	850
39	44-083	1134
39	44-084	618
39	44-085	829
39	44-086	765
39	44-088	745
39	44-089	717
39	44-090	5
39	44-092	1
39	48-004	18
39	48-005	1
39	48-008	181
39	48-011	904
39	48-015	1064
39	48-040	2
39	48-041	2
39	48-044	1
39	48-045	2
39	48-047	3
39	48-051	1
39	48-067	1
39	51-007	1196
39	51-008	429
39	51-009	461
39	51-015	1119
39	51-019	181
39	51-020	963
39	51-022	185
39	51-040	2
39	51-041	6
39	51-043	630
39	51-044	354
39	51-045	31
39	51-046	48
39	51-048	1
39	51-049	9
39	51-053	1
39	51-054	3
39	51-059	2
39	51-060	2
39	51-061	4
39	51-062	2
39	51-065	1
39	51-068	1
39	51-072	6
39	51-073	7
39	51-076	2
39	51-077	7
39	51-083	1
39	51-084	0
39	52-001	3
39	52-006	2
39	52-007	3
39	52-010	2
39	52-011	6
39	52-012	3
39	52-015	2
39	52-016	1
39	52-018	7
39	52-019	1
39	52-020	1
39	52-023	1
39	52-024	1
39	52-025	1
39	52-026	755
39	52-027	2
39	52-028	4
39	52-029	5
39	52-030	19
39	52-031	13
39	52-032	6
39	52-033	4
39	52-034	6
39	52-035	1109
39	52-036	1030
39	52-037	1070
39	52-038	1094
39	52-039	1257
39	52-040	1260
39	52-041	557
39	52-042	1220
39	52-043	1117
39	52-044	912
39	52-045	998
39	52-046	1145
39	52-047	1044
39	52-048	1
39	52-049	12
39	52-050	22
39	52-053	3
39	52-056	1
39	52-057	925
39	52-058	897
39	52-059	1157
39	52-060	848
39	52-061	943
39	52-062	819
39	52-063	6
39	52-064	886
39	52-065	805
39	52-066	1014
39	52-067	714
39	52-068	876
39	52-069	1130
39	52-070	1234
39	52-071	1140
39	52-072	440
39	52-073	197
39	52-074	34
39	52-075	10
39	52-076	292
39	52-078	742
39	52-079	345
39	52-080	347
39	52-081	1049
39	52-082	1230
39	52-083	1065
39	52-084	1081
39	52-085	1051
39	52-086	939
39	52-087	1128
39	52-088	644
39	52-089	1306
39	52-090	1416
39	52-091	922
39	52-092	989
39	52-093	1000
39	52-094	737
39	52-095	240
39	52-096	1084
39	52-097	1531
39	52-098	1139
39	52-099	1131
39	52-100	1005
39	52-101	795
39	52-103	1061
39	52-105	18
39	52-106	3
39	52-107	13
39	52-108	12
39	52-109	8
39	52-110	1013
39	52-111	852
39	52-112	1133
39	52-113	3
39	52-114	921
39	52-116	1089
39	52-119	1
39	52-123	0
39	52-126	0
