city_council	ad_ed	total_reg_dems
38	44-001	2
38	44-012	173
38	44-031	1
38	44-033	1
38	44-034	3
38	44-039	1
38	44-044	1
38	44-055	1
38	44-065	1089
38	44-066	914
38	44-079	1
38	44-087	1
38	44-089	29
38	48-001	297
38	48-002	358
38	48-003	6
38	48-004	1
38	48-005	1
38	48-006	2
38	48-026	1
38	48-037	1
38	49-001	1348
38	49-002	933
38	49-003	985
38	49-004	1247
38	49-005	1469
38	49-006	377
38	49-007	364
38	49-008	894
38	49-009	1394
38	49-010	1111
38	49-011	598
38	49-012	372
38	49-013	421
38	49-014	8
38	49-015	61
38	49-016	1469
38	49-017	1143
38	49-018	243
38	49-019	3
38	49-020	902
38	49-022	6
38	49-023	2
38	49-030	760
38	49-031	917
38	49-032	378
38	49-033	220
38	49-037	1460
38	49-041	2
38	49-042	738
38	49-058	1
38	49-060	2
38	49-061	1114
38	49-062	1040
38	49-064	706
38	49-066	1133
38	49-067	728
38	49-068	775
38	49-069	797
38	51-001	1398
38	51-002	1404
38	51-003	1360
38	51-004	1198
38	51-005	1204
38	51-006	1172
38	51-010	270
38	51-011	980
38	51-012	1045
38	51-013	606
38	51-014	1074
38	51-016	1235
38	51-017	924
38	51-021	198
38	51-022	8
38	51-023	1033
38	51-024	635
38	51-025	2
38	51-026	687
38	51-027	475
38	51-028	292
38	51-029	1419
38	51-030	786
38	51-031	1122
38	51-032	1049
38	51-033	1396
38	51-034	1164
38	51-035	1307
38	51-036	1264
38	51-037	1219
38	51-038	1320
38	51-039	1020
38	51-040	1271
38	51-041	1281
38	51-042	1234
38	51-048	37
38	51-049	923
38	51-050	645
38	51-051	1265
38	51-052	777
38	51-053	701
38	51-054	838
38	51-055	1068
38	51-056	59
38	51-057	112
38	51-058	442
38	51-063	1270
38	51-064	1134
38	51-065	1298
38	51-066	971
38	51-067	1192
38	51-068	243
38	51-069	842
38	51-070	1114
38	51-071	1074
38	51-072	1081
38	51-073	1226
38	51-074	923
38	51-075	1073
38	51-078	780
38	51-079	1188
38	51-080	541
38	51-081	841
38	51-082	1395
38	51-083	973
38	51-085	0
38	51-086	0
38	51-087	0
38	52-021	197
38	52-042	2
38	52-048	1
38	52-059	1
38	52-060	1
38	52-062	1
38	52-066	3
38	52-069	4
38	52-073	1
38	52-077	69
38	52-090	1
38	52-118	0
38	52-121	0
38	52-122	0
38	52-125	0
38	52-101	2
38	52-106	48
38	52-124	5
