Candidate	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6	district
Pierina Ana Sanchez	3254	3260	3284	3464	3656	4435	CD14
Yudelka Tapia	1788	1788	1806	1934	2216	2668	CD14
Adolfo Abreu	1612	1612	1629	1732	1913	0	CD14
Haile Rivera	874	874	882	979	0	0	CD14
Fernando A. Aquino	829	830	852	0	0	0	CD14
Socrates S. Solano	146	147	0	0	0	0	CD14
Write-ins	25	0	0	0	0	0	CD14
Inactive ballots	0	17	75	419	743	1425	CD14
