city_council	ad_ed	total_reg_dems
14	77-012	940
14	77-013	911
14	77-014	1142
14	77-016	930
14	77-018	1453
14	77-019	1337
14	77-020	1169
14	77-021	1270
14	77-022	1391
14	77-029	485
14	77-030	1
14	77-031	183
14	77-032	1173
14	77-033	1011
14	77-034	1194
14	77-035	819
14	77-036	1225
14	77-037	1056
14	77-038	763
14	77-040	161
14	77-041	997
14	77-074	1
14	77-076	1123
14	77-080	629
14	78-018	1461
14	78-022	902
14	78-023	1010
14	78-024	931
14	78-029	1354
14	78-043	510
14	78-044	1405
14	78-045	975
14	78-046	839
14	78-047	1357
14	78-048	1250
14	78-049	1128
14	78-050	1149
14	78-051	939
14	78-052	958
14	78-053	1158
14	78-054	757
14	78-059	1008
14	78-060	1266
14	78-065	1401
14	78-066	661
14	78-068	387
14	78-072	767
14	81-001	1077
14	81-002	1411
14	81-003	1005
14	81-004	885
14	81-005	1209
14	81-006	1320
14	81-007	1293
14	81-008	607
14	81-009	825
14	81-010	2
14	81-016	0
14	81-038	1371
14	81-041	5
14	81-042	396
14	86-001	819
14	86-002	1344
14	86-003	965
14	86-004	782
14	86-005	797
14	86-006	976
14	86-007	954
14	86-008	1251
14	86-009	1343
14	86-010	789
14	86-011	1150
14	86-012	1217
14	86-013	1213
14	86-014	1163
14	86-015	1287
14	86-016	1189
14	86-017	1209
14	86-018	1325
14	86-019	1284
14	86-020	1318
14	86-022	1172
14	86-023	923
14	86-024	984
14	86-025	1300
14	86-026	1187
14	86-027	1036
14	86-029	1309
14	86-031	1094
14	86-032	1
14	86-033	1266
14	86-034	1254
14	86-041	1
14	86-046	1
14	86-052	1
14	86-056	1
14	86-057	1
14	86-058	1068
14	86-060	124
14	86-061	766
14	86-062	884
14	86-063	1269
14	86-065	579
14	86-066	1200
14	86-067	1145
14	86-068	571
14	86-069	1071
