Candidate	Round 1	Round 2	Round 3	district
Tiffany Caban	7087	7089	8053	CD22
Evie Hantzopoulos	3774	3776	4827	CD22
John J. Ciafone	1344	1348	0	CD22
Leonardo T. Bullaro	1035	1038	0	CD22
Catherina Gioino	681	682	0	CD22
Nick Velkov	407	407	0	CD22
Write-ins	25	0	0	CD22
Inactive ballots	0	13	1473	CD22
