Candidate	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6	Round 7	district
Alexa Aviles	4446	4448	4500	4809	5330	5330	6366	CD38
Yu Lin	1913	1917	1966	2072	2258	2258	2432	CD38
Rodrigo G. Camarena	1325	1328	1351	1527	1764	1764	0	CD38
Jacqui Painter	1115	1116	1199	1365	0	0	0	CD38
Cesar Zuniga	998	1000	1057	0	0	0	0	CD38
Victor Swinton	445	445	0	0	0	0	0	CD38
Write-ins	29	0	0	0	0	0	0	CD38
Inactive ballots	0	17	198	498	919	919	1473	CD38
