Candidate	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6	district
Shahana K. Hanif	10703	10707	11171	11908	12544	14654	CD39
Brandon West	7436	7439	7533	8042	8913	11033	CD39
Justin M. Krebs	5293	5294	5397	6118	8154	0	CD39
Douglas M. Schneider	4494	4496	4697	5261	0	0	CD39
Briget Rein	2242	2249	2331	0	0	0	CD39
Jessica Simmons	1428	1429	1471	0	0	0	CD39
Mamnun M. Haq	1355	1356	0	0	0	0	CD39
Write-ins	80	0	0	0	0	0	CD39
Inactive ballots	0	61	431	1702	3420	7344	CD39
