ad_ed	reporting	candidate|Deirdre M. Levy	candidate|Curtis M. Harris	candidate|Michael Hollingsworth	candidate|Regina A. Kinsey	candidate|Crystal Hudson	candidate|Hector Robertson	candidate|Renee T. Collymore	candidate|Write-In	total
57-079	99.00%	7	7	115	11	80	6	19	0	245
57-080	99.00%	9	4	74	6	74	1	32	0	200
57-081	99.00%	6	19	151	10	71	1	38	0	296
57-082	99.00%	2	0	25	4	27	2	6	0	66
57-083	99.00%	3	12	93	9	49	4	37	1	208
57-084	99.00%	9	8	132	5	82	1	30	1	268
57-085	99.00%	0	4	29	3	45	0	16	0	97
57-086	99.00%	7	4	43	1	16	17	15	0	103
57-087	99.00%	4	9	38	3	32	1	19	0	106
57-088	99.00%	1	5	26	2	12	1	9	0	56
57-089	99.00%	7	16	63	11	72	14	30	0	213
57-090	99.00%	32	28	87	30	104	12	86	0	379
57-091	99.00%	9	16	48	7	57	3	49	0	189
57-092	99.00%	11	15	101	13	76	16	58	0	290
57-093	99.00%	4	16	85	14	53	0	41	0	213
57-095	99.00%	2	2	37	7	65	5	27	0	145
57-096	99.00%	0	0	27	2	21	1	13	0	64
57-097	99.00%	6	7	5	5	12	2	10	1	48
57-098	99.00%	9	14	12	10	36	2	15	2	100
57-103	99.00%	4	4	47	1	42	1	11	0	110
57-104	99.00%	2	1	54	1	39	1	9	0	107
57-105	99.00%	4	4	58	9	35	1	12	1	124
57-106	99.00%	0	0	0	0	0	0	0	0	0
