Candidate	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6	district
Linda Lee	3984	3992	4022	4094	4297	5737	CD23
Jaslin Kaur	3451	3452	3670	3846	4398	5041	CD23
Steve Behar	1736	1740	1761	1844	1954	0	CD23
Debra Markell	1663	1664	1712	1762	1846	0	CD23
Sanjeev Kumar Jindal	1216	1219	1316	1425	0	0	CD23
Koshy O. Thomas	715	715	739	0	0	0	CD23
Harpreet S. Toor	587	587	0	0	0	0	CD23
Write-ins	47	0	0	0	0	0	CD23
Inactive ballots	0	30	179	428	904	2621	CD23
