ad_ed	total_reg_dems	absentee_requested	totalAbsentee
36-001	613	314	176
36-002	484	225	124
36-003	445	169	94
36-004	564	232	127
36-005	454	174	98
36-006	652	260	147
36-007	466	199	112
36-008	678	262	136
36-009	388	115	60
36-010	667	220	98
36-011	667	146	59
36-012	645	235	107
36-013	475	182	86
36-014	664	174	84
36-015	649	216	116
36-016	604	230	127
36-017	587	244	139
36-018	697	287	171
36-019	716	254	140
36-020	628	231	136
36-021	742	263	136
36-022	704	271	170
36-023	525	174	95
36-024	600	197	101
36-025	627	187	109
36-026	598	189	114
36-027	658	201	115
36-028	572	188	102
36-029	576	169	94
36-030	627	210	104
36-031	626	170	93
36-032	614	214	121
36-033	373	125	87
36-034	580	215	113
36-035	620	225	120
36-036	689	300	168
36-037	684	240	114
36-038	565	213	103
36-039	604	244	154
36-040	722	273	156
36-041	640	224	114
36-042	654	174	94
36-043	127	38	13
36-044	101	21	10
36-045	687	216	117
36-046	445	72	37
36-047	486	103	46
36-048	477	101	51
36-049	663	274	164
36-050	177	20	5
36-051	80	20	11
36-052	636	269	134
36-053	615	209	125
36-054	575	174	94
36-055	682	212	104
36-056	623	200	99
36-057	523	202	106
36-058	498	183	108
36-059	646	216	129
36-060	489	150	82
36-061	713	164	78
36-062	575	136	59
36-063	662	111	40
36-064	657	264	137
36-065	221	80	52
36-066	642	173	96
36-067	653	224	111
36-068	0	0	0
36-069	0	0	0
36-070	0	0	0
36-071	0	0	0
36-072	740	254	123
36-073	748	333	189
36-074	602	171	82
36-075	494	160	91
36-076	667	201	105
36-077	743	293	152
36-078	467	145	83
36-079	375	122	64
36-080	530	182	81
36-081	687	256	156
36-082	535	214	112
36-083	467	79	40
