ad_ed	total_reg_dems	absentee_requested	totalAbsentee
51-001	686	142	122
51-002	616	78	52
51-003	590	133	75
51-004	626	69	36
51-005	571	57	32
51-006	572	62	32
51-007	683	212	152
51-008	269	93	77
51-009	236	28	18
51-010	125	12	6
51-011	637	175	136
51-012	667	197	137
51-013	471	159	117
51-014	505	47	24
51-015	486	40	16
51-016	536	28	13
51-017	416	66	45
51-018	21	2	0
51-019	85	4	3
51-020	597	192	142
51-021	105	41	33
51-022	138	44	36
51-023	621	158	106
51-024	278	45	18
51-025	0	0	0
51-026	284	46	21
51-027	195	25	20
51-028	118	18	15
51-029	662	77	39
51-030	388	48	32
51-031	580	85	49
51-032	533	66	43
51-033	748	79	52
51-034	568	38	20
51-035	728	103	82
51-036	727	99	64
51-037	725	71	43
51-038	765	168	107
51-039	548	86	40
51-040	734	190	137
51-041	775	166	123
51-042	730	232	179
51-043	379	93	81
51-044	227	68	46
51-045	19	5	2
51-046	29	10	9
51-047	378	56	26
51-048	25	0	0
51-049	585	158	110
51-050	371	36	19
51-051	679	51	22
51-052	445	43	30
51-053	358	72	53
51-054	561	68	29
51-055	624	147	112
51-056	31	2	1
51-057	56	4	3
51-058	217	24	14
51-059	352	83	60
51-060	581	70	30
51-061	517	66	31
51-062	415	105	61
51-063	621	60	39
51-064	620	47	26
51-065	700	59	36
51-066	551	65	37
51-067	653	78	32
51-068	155	39	20
51-069	598	62	21
51-070	707	45	24
51-071	760	59	20
51-072	690	136	79
51-073	752	90	50
51-074	639	34	13
51-075	498	45	24
51-076	347	90	71
51-077	481	96	54
51-078	413	38	20
51-079	706	119	76
51-080	219	27	14
51-081	504	74	58
51-082	653	137	93
51-083	617	180	128
51-084	0	0	0
51-085	0	0	0
51-086	0	0	0
51-087	0	0	0
