ad_ed	total	reporting	candidate|Jabari Brisport	candidate|Tremaine S. Wright	candidate|Jason Salmon	candidate|Write-In	absentee|Jabari Brisport	absentee|Jason Salmon	absentee|Tremaine S. Wright	absentee|Write-In
56-045	180	99.00%	64	114	2	0	57	3	30	0
56-046	181	99.00%	71	102	8	0	24	3	33	0
56-047	189	99.00%	76	102	10	1	63	2	21	0
56-048	168	99.00%	66	97	5	0	44	7	31	0
56-049	176	99.00%	68	102	6	0	55	1	39	0
56-050	197	99.00%	79	114	4	0	35	3	32	0
56-051	155	99.00%	47	106	2	0	16	4	25	0
56-052	177	99.00%	78	97	2	0	56	3	31	0
56-053	218	99.00%	96	117	5	0	80	3	17	0
56-054	103	99.00%	41	59	3	0	73	1	57	0
56-055	239	99.00%	99	133	7	0	70	2	12	0
56-056	98	99.00%	44	49	5	0	21	0	21	0
56-057	112	99.00%	37	70	5	0	69	2	87	0
56-058	90	99.00%	46	43	1	0	103	5	54	0
56-059	122	99.00%	50	67	5	0	18	0	11	0
56-060	112	99.00%	32	74	6	0	8	2	13	0
56-061	133	99.00%	81	50	2	0	34	3	15	0
56-062	108	99.00%	42	59	7	0	32	2	32	0
56-063	109	99.00%	37	62	10	0	7	1	6	0
56-064	93	99.00%	30	60	3	0	1	0	4	0
56-065	148	99.00%	63	78	7	0	24	3	15	0
56-066	51	99.00%	23	27	1	0	6	0	1	0
56-067	94	99.00%	40	43	9	2	16	0	9	0
56-068	135	99.00%	49	74	12	0	18	2	14	0
56-069	140	99.00%	48	79	13	0	30	0	20	0
56-070	84	99.00%	34	45	5	0	24	1	21	0
56-071	162	99.00%	44	106	12	0	2	3	11	0
56-072	218	99.00%	86	124	8	0	47	2	26	0
56-074	115	99.00%	37	68	10	0	30	1	19	0
56-079	221	99.00%	141	69	11	0	64	4	29	0
56-080	197	99.00%	79	112	6	0	43	6	29	0
56-081	107	99.00%	38	65	4	0	10	1	6	0
56-082	80	99.00%	22	55	3	0	61	3	53	0
56-083	4	99.00%	1	3	0	0	3	1	4	0
56-084	101	99.00%	35	61	5	0	22	2	12	0
56-085	214	99.00%	150	53	11	0	95	4	25	0
56-086	161	99.00%	87	70	3	1	34	3	19	0
56-087	133	99.00%	84	44	5	0	65	1	17	0
56-088	187	99.00%	92	94	1	0	44	2	23	0
56-089	159	99.00%	52	99	8	0	38	0	33	0
56-090	217	99.00%	90	117	10	0	41	4	23	0
56-091	103	99.00%	64	37	2	0	126	6	58	2
57-001	67	99.00%	30	30	6	1	14	2	7	0
57-002	115	99.00%	50	49	16	0	4	0	14	0
57-003	109	99.00%	48	46	15	0	5	3	5	1
57-004	77	99.00%	42	27	7	1	43	6	8	0
57-005	30	99.00%	16	11	3	0	4	0	3	0
57-006	18	99.00%	8	8	2	0	35	12	39	1
57-007	51	99.00%	17	27	7	0	3	1	4	0
57-008	75	99.00%	36	29	9	1	29	0	13	0
57-009	136	99.00%	65	47	24	0	35	11	22	0
57-010	209	99.00%	111	67	30	1	124	26	73	0
57-011	112	99.00%	41	54	17	0	30	25	48	0
57-012	24	99.00%	12	9	3	0	51	17	51	0
57-013	18	99.00%	4	11	3	0	38	9	45	2
57-014	88	99.00%	61	20	7	0	87	6	27	0
57-015	133	99.00%	85	32	16	0	105	12	24	0
57-016	197	99.00%	120	60	16	1	125	21	36	0
57-017	207	99.00%	124	72	11	0	137	21	50	0
