ad_ed	total_reg_dems	absentee_requested
78-040	791	136
78-041	849	133
78-055	0	0
78-056	0	0
78-058	0	0
80-001	406	55
80-002	331	106
80-003	336	68
80-004	188	28
80-005	140	15
80-006	338	78
80-007	305	38
80-008	337	30
80-009	370	43
80-010	602	61
80-011	229	17
80-012	330	24
80-013	560	36
80-014	718	54
80-015	394	42
80-016	642	96
80-017	753	95
80-018	351	26
80-019	251	23
80-020	553	88
80-021	782	90
80-022	771	100
80-023	714	90
80-024	760	96
80-025	750	89
80-026	548	61
80-027	357	36
80-028	457	75
80-029	164	18
80-030	445	60
80-031	579	87
80-032	333	56
80-033	312	24
80-034	399	46
80-035	332	48
80-036	564	75
80-037	279	40
80-038	408	43
80-039	657	58
80-040	403	24
80-041	875	89
80-042	527	31
80-043	560	50
80-044	473	38
80-045	636	65
80-046	277	30
80-047	454	59
80-048	814	82
80-049	140	1
80-050	498	42
80-051	457	46
80-052	706	59
80-053	586	49
80-055	852	72
80-057	332	25
80-058	823	100
80-066	495	18
80-067	502	73
80-068	448	66
80-069	199	17
80-070	609	57
80-071	481	53
80-074	762	63
80-075	20	3
80-088	0	0
80-091	0	0
80-092	0	0
80-093	497	58
82-001	358	70
82-002	441	73
82-003	210	27
82-004	387	65
82-005	595	71
82-006	482	61
82-007	514	57
82-008	720	117
82-009	601	92
82-010	635	76
82-011	618	65
82-012	575	52
82-013	734	75
82-014	328	33
82-015	776	113
82-016	590	92
82-017	558	71
82-018	432	37
82-019	328	39
82-020	312	42
82-021	362	49
82-022	591	89
82-023	633	69
82-024	696	108
82-025	580	61
82-026	0	0
82-027	572	49
82-028	797	94
82-029	224	24
82-030	711	99
82-031	680	71
82-032	677	88
82-033	504	97
82-034	357	58
82-035	621	100
82-036	591	108
82-037	543	83
82-038	707	102
82-039	541	70
82-040	394	48
82-041	445	61
82-042	270	48
82-043	399	54
82-044	432	59
82-045	284	42
82-046	312	59
82-047	303	51
82-048	350	40
82-049	429	77
82-050	422	98
82-051	721	92
82-052	666	114
82-053	420	71
82-055	359	44
82-056	437	64
82-057	481	82
82-058	424	64
82-059	206	23
82-060	388	92
82-061	425	127
82-062	368	92
82-063	309	74
82-064	702	86
82-107	263	24
82-108	3	
82-111	0	0
82-112	0	0
82-113	0	0
82-114	0	0
82-115	0	0
82-116	0	0
82-119	368	55
85-035	4	
87-018	686	106
87-019	698	54
87-020	739	71
87-043	1	
87-044	178	17
87-045	98	11
87-046	790	63
87-047	891	144
87-048	849	121
87-049	830	134
87-050	686	104
87-051	713	90
87-052	796	143
87-053	782	140
87-054	757	131
87-055	868	143
87-056	827	143
87-057	784	118
87-058	792	115
87-059	609	102
87-060	850	136
87-061	897	158
87-062	486	89
87-064	5	
87-065	479	52
87-066	784	77
87-067	601	68
87-068	885	111
87-069	693	64
87-093	0	0
87-094	0	0
87-099	593	69
87-100	433	77
87-101	520	105
