ad_ed	total_reg_dems	absentee_requested
26-001	195	40
27-057	198	37
27-058	2	
27-059	488	74
27-060	473	34
27-061	565	68
27-062	598	73
27-063	528	80
27-064	670	87
27-065	507	78
27-066	591	95
27-067	559	78
27-068	572	79
27-073	0	0
27-074	0	0
27-075	0	0
27-077	0	0
27-078	0	0
27-081	547	77
27-087	498	56
30-028	5	1
30-035	16	
30-036	401	91
30-037	580	125
30-039	633	139
30-040	458	82
30-041	295	42
30-042	628	110
30-043	566	109
30-044	635	137
30-045	629	124
30-046	716	190
30-047	776	162
30-048	689	253
30-049	640	203
30-050	736	242
30-051	630	115
30-052	729	121
30-053	411	81
30-054	100	13
30-055	568	119
30-057	673	68
30-058	715	114
30-059	744	81
30-060	690	209
30-061	422	130
30-062	529	148
30-063	331	123
30-065	502	175
30-075	359	51
30-076	746	218
30-077	681	157
30-080	305	104
30-081	495	120
30-082	419	113
34-001	679	98
34-002	649	147
34-003	769	100
34-004	653	80
34-005	805	132
34-006	690	129
34-007	525	111
34-008	813	210
34-009	684	182
34-010	591	205
34-011	554	152
34-012	674	115
34-013	647	125
34-014	730	189
34-015	794	257
34-016	707	317
34-017	584	205
34-018	452	130
34-019	729	226
34-020	736	174
34-021	610	164
34-022	840	282
34-023	780	236
34-024	665	229
34-025	680	331
34-026	771	322
34-027	615	281
34-028	496	209
34-029	661	263
34-030	25	8
34-031	168	84
34-032	119	54
34-033	119	64
34-034	183	40
34-035	752	210
34-036	702	309
34-037	587	241
34-038	759	308
34-039	684	210
34-040	665	212
34-041	654	206
34-042	559	235
34-043	212	104
34-044	264	87
34-045	682	296
34-046	614	250
34-047	49	11
34-048	247	118
34-049	575	227
34-050	656	202
34-051	679	266
34-052	675	237
34-053	63	12
34-054	7	2
34-055	20	2
34-056	111	29
34-063	883	417
34-064	0	0
34-065	895	173
34-066	722	145
34-067	667	188
34-068	693	273
34-069	722	301
34-070	183	65
34-071	581	264
34-072	681	271
34-073	504	154
35-013	785	94
35-014	538	65
35-015	915	141
35-016	953	158
35-017	912	157
35-018	971	156
35-019	729	110
35-020	851	208
35-021	611	134
35-022	858	164
35-025	1086	155
35-028	426	65
35-029	10	2
35-031	0	0
35-032	846	141
35-034	0	0
35-035	419	21
35-037	790	98
35-038	851	156
35-039	764	80
35-040	712	102
35-041	795	102
35-042	802	79
35-043	845	145
35-044	903	121
35-045	734	118
35-046	762	124
35-047	843	138
35-048	847	163
35-049	502	87
35-050	732	111
35-051	813	123
35-052	842	143
35-053	806	140
35-054	0	0
35-056	0	0
35-057	0	0
35-058	0	0
35-059	0	0
35-060	0	0
35-061	0	0
35-065	689	97
35-066	723	157
36-026	637	189
36-027	721	199
36-028	633	186
36-029	623	167
36-030	682	208
36-031	705	166
36-032	681	212
36-033	424	125
36-034	643	215
36-035	678	225
36-036	766	299
36-037	712	240
36-038	600	213
36-039	680	244
36-040	773	272
36-041	718	222
36-042	710	174
36-043	129	38
36-044	100	21
36-046	449	67
36-047	504	99
36-048	503	99
36-050	169	19
36-051	81	19
36-053	631	206
36-054	597	170
36-055	743	210
36-056	679	198
36-057	587	200
36-058	565	183
36-059	707	210
36-060	543	150
36-061	771	164
36-062	616	136
36-063	722	111
36-067	718	224
36-068	0	0
36-069	0	0
36-070	0	0
36-071	0	0
36-079	411	122
36-080	587	182
36-081	768	255
36-082	588	213
36-083	473	76
37-027	777	313
37-028	734	277
37-029	783	245
37-030	683	166
37-031	694	196
37-032	671	176
37-033	683	131
37-034	800	105
37-035	801	80
37-036	719	212
37-037	743	266
37-038	786	213
37-039	681	165
37-063	666	147
37-064	659	250
37-065	660	157
37-077	738	167
37-082	730	214
37-083	674	237
39-001	810	80
39-002	614	62
39-003	631	54
39-004	785	70
39-005	788	82
39-006	588	59
39-007	746	94
39-008	568	61
39-009	747	76
39-010	671	74
39-011	733	77
39-012	716	82
39-013	758	101
39-014	657	81
39-015	825	121
39-016	775	86
39-017	825	124
39-018	884	198
39-019	812	187
39-022	189	28
39-028	151	22
39-040	149	24
39-041	674	86
39-042	100	19
39-043	606	83
39-044	534	167
39-045	661	243
39-046	639	308
39-047	827	251
39-048	537	87
39-049	769	131
39-050	211	48
39-051	538	118
39-052	522	63
39-053	506	51
39-054	691	91
39-056	775	233
40-054	0	0
40-055	0	0
78-037	99	31
