ad_ed	total	reporting	candidate|Samuel H. Sloan	candidate|Badrun N. Khan	candidate|Michelle Caruso-Cabrera	candidate|Alexandria Ocasio-Cortez	candidate|Write-In
26-001	19	99.00%	0	1	11	7	0
27-057	27	99.00%	0	1	13	13	0
27-058	0	99.00%	0	0	0	0	0
27-059	54	99.00%	1	4	14	35	0
27-060	47	99.00%	4	1	13	29	0
27-061	90	99.00%	1	3	12	74	0
27-062	51	99.00%	2	1	9	39	0
27-063	66	99.00%	4	4	12	46	0
27-064	71	99.00%	2	2	10	57	0
27-065	47	99.00%	2	0	7	38	0
27-066	86	99.00%	9	3	21	50	3
27-067	57	99.00%	0	0	19	37	1
27-068	74	99.00%	3	1	22	48	0
27-073	0	99.00%	0	0	0	0	0
27-074	0	99.00%	0	0	0	0	0
27-075	0	99.00%	0	0	0	0	0
27-077	0	99.00%	0	0	0	0	0
27-078	0	99.00%	0	0	0	0	0
27-081	70	99.00%	4	6	16	44	0
27-087	57	99.00%	4	3	16	34	0
30-028	0	99.00%	0	0	0	0	0
30-035	0	99.00%	0	0	0	0	0
30-036	57	99.00%	2	13	10	32	0
30-037	92	99.00%	4	9	24	55	0
30-039	178	99.00%	4	11	47	116	0
30-040	108	99.00%	4	11	31	62	0
30-041	57	40.00%	2	8	6	41	0
30-042	109	40.00%	3	11	12	83	0
30-043	92	50.00%	2	6	19	65	0
30-044	122	50.00%	2	9	23	88	0
30-045	113	50.00%	3	12	17	80	1
30-046	135	40.00%	0	4	19	112	0
30-047	156	40.00%	3	6	26	119	2
30-048	158	40.00%	5	4	60	89	0
30-049	136	40.00%	5	7	23	101	0
30-050	159	40.00%	3	4	43	109	0
30-051	110	50.00%	3	6	19	81	1
30-052	110	50.00%	4	18	20	68	0
30-053	95	99.00%	1	9	29	55	1
30-054	10	40.00%	0	1	2	7	0
30-055	94	99.00%	0	9	14	71	0
30-057	94	99.00%	1	4	22	67	0
30-058	88	99.00%	2	6	8	72	0
30-059	142	99.00%	9	7	26	100	0
30-060	98	99.00%	0	2	15	81	0
30-061	124	99.00%	3	3	31	87	0
30-062	92	99.00%	3	2	11	76	0
30-063	60	99.00%	0	2	5	53	0
30-065	93	40.00%	0	6	16	71	0
30-075	38	99.00%	0	4	7	27	0
30-076	163	40.00%	5	11	21	126	0
30-077	121	50.00%	4	14	29	74	0
30-080	68	40.00%	2	3	20	43	0
30-081	111	99.00%	5	12	32	62	0
30-082	128	99.00%	6	10	30	82	0
34-001	99	99.00%	0	0	26	73	0
34-002	96	99.00%	3	4	19	70	0
34-003	132	99.00%	3	3	35	91	0
34-004	111	99.00%	1	7	29	74	0
34-005	120	99.00%	5	2	23	90	0
34-006	77	99.00%	0	3	22	52	0
34-007	74	99.00%	1	4	12	57	0
34-008	170	99.00%	2	3	49	116	0
34-009	174	99.00%	5	16	25	127	1
34-010	94	99.00%	3	8	18	65	0
34-011	72	99.00%	1	1	10	60	0
34-012	111	99.00%	1	4	18	88	0
34-013	139	99.00%	6	2	42	89	0
34-014	130	99.00%	5	10	10	105	0
34-015	161	99.00%	1	8	29	123	0
34-016	170	99.00%	2	2	46	119	1
34-017	139	99.00%	4	2	31	102	0
34-018	73	99.00%	1	5	10	57	0
34-019	154	99.00%	5	8	37	102	2
34-020	94	99.00%	2	1	32	59	0
34-021	87	99.00%	0	7	20	60	0
34-022	175	99.00%	2	3	34	136	0
34-023	167	99.00%	1	4	26	136	0
34-024	161	99.00%	6	7	22	126	0
34-025	165	99.00%	1	3	31	130	0
34-026	140	99.00%	3	4	16	117	0
34-027	111	99.00%	0	11	16	84	0
34-028	74	99.00%	1	9	10	54	0
34-029	90	99.00%	6	12	11	61	0
34-030	0	99.00%	0	0	0	0	0
34-031	27	99.00%	0	1	7	19	0
34-032	20	99.00%	0	6	2	12	0
34-033	18	40.00%	1	3	2	12	0
34-034	22	99.00%	1	0	4	17	0
34-035	99	99.00%	6	15	8	70	0
34-036	90	99.00%	1	14	16	59	0
34-037	79	99.00%	0	4	17	58	0
34-038	106	40.00%	0	29	15	62	0
34-039	84	99.00%	0	6	22	56	0
34-040	87	99.00%	7	3	22	54	1
34-041	114	99.00%	2	17	27	68	0
34-042	80	99.00%	0	12	8	60	0
34-043	36	99.00%	1	2	8	25	0
34-044	39	40.00%	0	2	6	31	0
34-045	106	40.00%	5	20	17	64	0
34-046	83	99.00%	5	16	10	52	0
