ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
84-014	635	98	121	99.00%	3	22	1	4	18	4	0	44	11	11	1	1	1
84-015	694	92	78	99.00%	2	10	0	1	8	11	0	20	11	12	1	2	0
84-016	803	221	123	99.00%	7	20	1	3	23	11	0	32	3	21	1	1	0
84-017	369	41	43	99.00%	2	2	0	2	10	5	0	11	2	7	1	1	0
84-018	537	72	42	99.00%	1	10	0	1	8	2	0	17	1	0	1	0	1
84-019	945	130	159	99.00%	4	15	1	33	21	25	0	44	1	12	2	1	0
84-020	723	109	144	99.00%	1	44	0	9	27	6	0	44	2	7	1	2	1
84-021	202	27	21	99.00%	0	5	0	1	5	2	0	8	0	0	0	0	0
84-022	269	26	3	99.00%	1	1	0	0	0	0	0	0	0	1	0	0	0
84-023	809	73	137	99.00%	3	8	0	15	41	21	0	41	2	6	0	0	0
84-024	747	67	109	99.00%	3	16	0	10	22	17	0	32	1	3	2	3	0
84-025	810	103	122	99.00%	2	22	0	9	27	20	0	35	2	4	1	0	0
84-026	578	47	72	99.00%	0	23	0	1	7	9	1	24	1	4	1	1	0
84-027	712	43	100	99.00%	4	10	0	6	20	21	0	37	0	1	1	0	0
84-028	817	58	111	99.00%	3	16	1	6	17	20	2	33	2	10	0	1	0
84-029	703	65	36	99.00%	0	4	0	2	11	9	0	7	0	2	0	0	1
84-030	618	55	39	99.00%	2	2	0	1	9	6	0	11	1	6	0	0	1
84-031	530	40	19	99.00%	0	1	1	2	2	3	0	7	1	2	0	0	0
84-032	529	41	18	99.00%	0	1	0	1	4	3	0	7	1	1	0	0	0
84-033	681	50	49	99.00%	0	10	0	2	6	10	1	13	2	5	0	0	0
84-034	856	163	137	99.00%	0	31	1	10	33	8	0	40	6	5	0	1	2
84-035	863	101	97	99.00%	2	29	0	4	12	12	1	26	6	5	0	0	0
84-036	274	32	60	99.00%	0	6	0	3	13	13	0	21	1	3	0	0	0
84-037	749	66	109	99.00%	1	17	0	1	20	26	0	25	1	15	2	0	1
84-038	899	82	87	99.00%	1	17	0	9	7	15	1	26	0	10	1	0	0
84-039	870	97	124	99.00%	2	26	2	9	22	21	0	26	3	12	0	1	0
84-040	856	102	1	99.00%	0	0	0	0	1	0	0	0	0	0	0	0	0
84-041	731	73	4	99.00%	0	3	0	0	0	1	0	0	0	0	0	0	0
84-042	848	92	125	99.00%	2	20	1	11	24	18	0	34	5	9	0	1	0
84-043	829	90	128	99.00%	3	30	0	20	18	12	0	31	1	12	0	0	1
84-044	766	60	120	99.00%	5	24	0	11	16	20	0	29	0	15	0	0	0
84-045	733	45	86	99.00%	1	11	0	4	10	18	0	28	5	8	1	0	0
84-046	591	77	105	99.00%	6	17	1	5	17	18	0	24	0	17	0	0	0
84-047	339	35	49	99.00%	0	9	0	7	4	4	0	13	3	8	0	0	1
84-048	840	82	79	99.00%	0	11	0	5	15	16	0	25	0	4	2	1	0
84-049	264	19	3	99.00%	0	0	0	0	0	1	0	2	0	0	0	0	0
84-050	902	86	3	99.00%	0	0	0	0	0	1	0	0	1	1	0	0	0
84-051	628	65	3	99.00%	0	0	0	0	1	0	0	2	0	0	0	0	0
84-052	592	40	4	99.00%	0	0	0	0	2	1	0	1	0	0	0	0	0
84-053	6		0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
84-054	777	78	2	99.00%	0	0	0	0	2	0	0	0	0	0	0	0	0
84-055	817	93	7	99.00%	0	2	0	0	2	0	0	3	0	0	0	0	0
84-056	725	81	4	99.00%	0	1	0	0	2	0	0	0	1	0	0	0	0
84-057	889	78	101	99.00%	6	22	0	6	22	8	0	32	1	4	0	0	0
84-058	789	98	102	99.00%	4	18	2	20	8	11	0	33	1	5	0	0	0
84-059	840	74	105	99.00%	3	27	0	8	12	8	0	39	1	7	0	0	0
84-060	830	80	73	99.00%	2	10	0	8	13	8	0	24	0	8	0	0	0
84-061	847	70	116	99.00%	3	21	0	12	18	14	2	36	1	7	0	2	0
84-062	637	44	82	99.00%	0	7	1	19	10	13	0	24	1	6	0	0	1
84-063	694	62	96	99.00%	4	5	0	24	14	15	0	21	4	9	0	0	0
84-064	957	104	1	99.00%	0	0	0	0	0	0	0	1	0	0	0	0	0
84-065	643	55	1	99.00%	0	0	0	0	0	0	0	0	0	1	0	0	0
84-066	759	85	1	99.00%	0	1	0	0	0	0	0	0	0	0	0	0	0
84-067	868	64	1	99.00%	0	1	0	0	0	0	0	0	0	0	0	0	0
84-068	639	39	3	99.00%	0	1	0	0	0	0	0	2	0	0	0	0	0
84-069	423	46	48	99.00%	0	11	0	3	7	6	1	11	1	8	0	0	0
84-070	558	68	6	99.00%	0	4	0	0	0	0	0	1	0	1	0	0	0
84-071	893	85	203	99.00%	5	50	3	12	27	30	1	53	7	14	1	0	0
84-072	840	56	154	99.00%	3	20	0	6	37	21	1	54	4	8	0	0	0
84-073	206	24	18	99.00%	0	4	1	1	4	4	0	4	0	0	0	0	0
84-074	783	86	58	99.00%	0	9	0	5	3	9	0	21	4	7	0	0	0
84-075	680	65	65	99.00%	3	4	1	6	16	9	0	23	0	3	0	0	0
84-076	124	9	2	99.00%	0	0	0	0	0	0	0	2	0	0	0	0	0
84-077	703	29	49	99.00%	3	4	0	2	6	4	0	26	0	4	0	0	0
84-078	235	21	15	99.00%	1	4	1	0	1	3	0	1	0	1	2	1	0
84-079	15	1	2	99.00%	0	0	0	0	1	1	0	0	0	0	0	0	0
84-080	658	148	182	99.00%	2	33	5	6	22	15	1	68	15	12	1	2	0
84-081	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
84-082	800	103	140	99.00%	3	23	0	4	28	15	1	36	2	26	0	2	0
84-083	763	91	111	99.00%	3	17	0	8	15	19	1	29	2	16	0	1	0
84-084	243	28	36	99.00%	0	7	0	1	5	6	0	8	0	2	6	1	0
84-085	407	31	4	99.00%	0	0	0	0	0	0	0	4	0	0	0	0	0
85-001	793	167	109	99.00%	3	12	1	4	23	13	0	45	2	3	0	3	0
85-002	750	95	9	99.00%	0	1	0	0	2	0	0	2	1	0	1	2	0
85-003	724	108	137	99.00%	1	14	0	2	26	16	0	59	2	10	6	1	0
85-004	777	79	116	99.00%	4	16	1	3	14	34	0	39	0	5	0	0	0
85-005	813	114	126	99.00%	2	17	0	7	18	22	0	51	1	5	0	0	3
85-006	464	58	83	99.00%	5	22	0	3	8	17	0	26	1	1	0	0	0
85-007	697	85	74	99.00%	0	13	0	6	12	15	0	22	3	2	0	1	0
85-008	780	75	79	99.00%	1	11	0	3	11	18	1	25	2	6	0	1	0
85-009	771	77	105	99.00%	5	10	0	5	21	18	0	40	1	3	0	1	1
85-010	812	98	113	99.00%	1	13	0	2	15	16	0	53	1	12	0	0	0
85-011	679	64	101	99.00%	0	6	0	2	23	23	1	38	1	4	1	2	0
85-012	801	95	97	99.00%	0	9	0	2	19	20	0	43	0	3	0	1	0
85-013	686	127	203	99.00%	1	12	0	4	74	19	1	85	2	3	0	2	0
85-014	508	61	84	99.00%	1	11	0	4	14	17	0	21	0	12	2	2	0
85-015	894	105	100	99.00%	2	12	0	6	15	16	0	43	1	3	0	2	0
85-016	452	42	83	99.00%	0	10	0	6	9	18	0	33	0	7	0	0	0
85-017	770	75	45	99.00%	1	6	0	3	4	12	0	17	0	2	0	0	0
85-018	49	4	5	99.00%	0	0	1	0	0	1	0	3	0	0	0	0	0
85-019	753	158	254	99.00%	3	19	0	5	93	33	3	93	3	1	0	1	0
85-020	777	103	207	99.00%	2	16	1	3	75	14	0	90	4	1	0	1	0
85-021	739	138	164	99.00%	1	23	0	2	61	15	0	53	3	6	0	0	0
85-022	742	72	79	99.00%	1	14	0	5	4	18	0	27	3	6	1	0	0
85-023	567	38	76	99.00%	0	7	0	0	15	15	3	29	1	1	3	2	0
85-024	752	130	190	99.00%	4	24	2	6	49	16	3	79	4	3	0	0	0
85-025	573	72	133	99.00%	4	20	0	2	32	21	0	48	2	4	0	0	0
85-026	614	90	125	99.00%	1	12	0	2	34	12	0	57	1	5	0	1	0
85-027	825	118	78	99.00%	0	14	1	7	11	4	0	27	1	11	1	1	0
85-028	114	7	13	99.00%	0	1	0	0	2	0	0	7	0	3	0	0	0
85-029	698	53	97	99.00%	2	7	1	2	13	30	0	29	2	9	0	2	0
85-030	792	90	118	99.00%	5	5	1	13	11	22	1	51	0	8	1	0	0
85-031	695	51	55	99.00%	3	4	0	2	3	14	0	27	1	1	0	0	0
85-032	421	33	5	99.00%	0	2	0	0	1	0	0	2	0	0	0	0	0
85-033	769	90	108	99.00%	3	11	0	9	20	13	0	46	0	4	1	0	1
85-034	802	39	78	99.00%	2	14	0	7	7	15	0	19	2	9	1	2	0
85-036	697	81	120	99.00%	2	24	0	6	24	16	1	40	3	4	0	0	0
85-037	758	124	184	99.00%	0	9	0	6	76	18	0	65	5	4	1	0	0
85-038	698	46	29	99.00%	0	8	0	1	1	8	0	7	1	3	0	0	0
85-039	939	83	56	99.00%	1	12	0	2	12	7	0	15	0	5	0	1	1
85-040	516	42	25	99.00%	1	4	0	0	6	2	0	10	0	2	0	0	0
