ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Tomas Ramos	candidate|Samelys López	candidate|Frangell Basora	candidate|Melissa Mark-Viverito	candidate|Michael A. Blake	candidate|Rubén Díaz	candidate|Mark Escoffery-Bey	candidate|Ritchie Torres	candidate|Chivona R. Newsome	candidate|Ydanis Rodriguez	candidate|Julio Pabón	candidate|Marlene J. Tapper	candidate|Write-In
87-013	221	19	40	99.00%	1	4	0	2	5	3	0	19	1	4	0	1	0
87-014	347	37	29	99.00%	1	6	0	0	3	5	0	14	0	0	0	0	0
87-015	221	19	3	99.00%	0	0	0	0	0	0	0	3	0	0	0	0	0
87-016	247	26	52	99.00%	3	4	0	5	7	7	0	25	0	1	0	0	0
87-017	302	29	43	99.00%	0	8	0	0	2	4	0	17	3	9	0	0	0
87-021	132	16	3	99.00%	0	0	0	0	1	1	0	1	0	0	0	0	0
87-022	416	65	58	99.00%	2	4	0	2	5	10	0	34	1	0	0	0	0
87-023	518	56	3	99.00%	0	0	0	0	0	0	0	3	0	0	0	0	0
87-024	405	52	106	99.00%	6	10	0	4	13	19	0	37	3	11	0	1	2
87-025	317	42	48	99.00%	0	11	0	1	7	10	2	14	1	1	0	1	0
87-026	910	78	133	99.00%	0	17	0	3	15	32	0	48	5	9	3	0	1
87-027	582	43	78	99.00%	0	18	0	6	6	16	0	16	3	12	0	0	1
87-028	828	135	153	99.00%	4	21	0	10	20	27	0	60	1	10	0	0	0
87-029	545	72	90	99.00%	2	7	0	3	19	11	1	38	1	5	3	0	0
87-030	244	28	33	99.00%	3	5	0	2	9	3	0	9	0	2	0	0	0
87-031	544	56	58	99.00%	0	11	0	3	12	9	0	20	0	3	0	0	0
87-032	671	86	82	99.00%	2	10	0	2	17	15	1	31	0	2	0	2	0
87-033	622	53	84	99.00%	4	8	0	1	17	22	0	24	0	6	0	1	1
87-034	702	62	98	99.00%	3	15	1	3	10	22	1	28	0	10	3	0	2
87-035	742	83	114	99.00%	5	13	0	6	19	26	2	33	1	8	0	0	1
87-036	728	67	71	99.00%	1	12	0	2	8	17	0	24	0	5	2	0	0
87-037	781	108	114	99.00%	10	21	2	6	11	30	0	21	2	10	0	1	0
87-038	488	55	71	99.00%	2	7	0	1	10	18	1	20	0	11	1	0	0
87-039	819	116	147	99.00%	7	26	0	5	15	30	2	52	0	8	1	1	0
87-040	741	107	60	99.00%	1	10	0	1	6	16	0	19	3	4	0	0	0
87-041	592	75	53	99.00%	3	8	0	1	7	14	0	17	0	3	0	0	0
87-042	805	124	127	99.00%	1	16	0	4	30	15	0	53	3	2	0	3	0
87-063	71	10	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-070	735	60	57	99.00%	2	8	0	2	7	9	0	22	0	3	0	3	1
87-071	492	50	79	99.00%	0	11	0	0	16	13	0	31	2	4	0	1	1
87-072	551	65	85	99.00%	3	11	1	5	15	24	0	18	0	5	0	2	1
87-073	203	4	3	99.00%	0	0	0	0	0	2	0	1	0	0	0	0	0
87-074	710	83	60	99.00%	1	8	2	1	9	16	0	15	2	4	1	0	1
87-075	594	77	102	99.00%	1	17	0	5	12	10	0	49	1	5	1	0	1
87-076	639	68	40	99.00%	0	3	0	4	7	10	1	11	1	3	0	0	0
87-077	811	98	117	99.00%	2	18	0	3	11	12	0	60	0	4	1	6	0
87-078	779	93	105	99.00%	2	18	1	2	9	21	0	41	0	7	1	3	0
87-079	222	26	32	99.00%	0	11	0	1	4	5	0	8	0	3	0	0	0
87-080	609	50	74	99.00%	1	14	0	2	8	8	0	32	1	6	0	2	0
87-081	554	88	110	99.00%	1	14	0	3	32	13	0	41	3	3	0	0	0
87-082	474	50	85	99.00%	3	15	0	3	14	18	1	24	2	4	0	0	1
87-083	67	1	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-084	547	51	30	99.00%	2	3	0	0	6	6	0	5	3	5	0	0	0
87-085	826	102	126	99.00%	0	29	1	5	25	16	0	44	0	6	0	0	0
87-086	854	112	99	99.00%	2	15	0	2	13	20	0	40	0	3	0	4	0
87-087	764	149	231	99.00%	0	15	0	4	54	32	1	117	3	4	0	1	0
87-088	647	45	53	99.00%	0	9	1	1	11	10	0	17	1	1	0	1	1
87-089	718	49	73	99.00%	0	8	0	1	10	19	0	30	1	1	0	2	1
87-090	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-091	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-092	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-095	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0	0	0	0
87-096	360	55	51	99.00%	2	13	0	1	6	15	0	12	1	1	0	0	0
87-097	703	76	58	99.00%	3	4	0	0	11	11	0	20	1	6	0	1	1
87-098	776	91	109	99.00%	3	14	0	3	16	30	0	39	1	3	0	0	0
87-102	713	62	67	99.00%	1	8	2	2	8	10	0	28	0	3	0	4	1
