ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Katherine P. Walsh	candidate|Marcela Mitaynes	candidate|Genesis E. Aquino	candidate|Felix W. Ortiz	candidate|Write-In	absentee|Katherine P. Walsh	absentee|Marcela Mitaynes	absentee|Genesis E. Aquino	absentee|Felix W. Ortiz	totalAbsentee
51-001	686	142	120	99.00%	19	54	6	41	0	24	58	0	23	119
51-002	616	78	63	99.00%	7	13	14	28	1	6	17	8	14	54
51-003	590	133	110	99.00%	20	44	10	35	1	12	53	7	17	97
51-004	626	69	75	99.00%	11	21	8	35	0	1	16	5	13	39
51-005	571	57	53	99.00%	6	20	1	26	0	8	10	4	10	32
51-006	572	62	72	99.00%	14	23	7	28	0	11	9	4	6	31
51-007	683	212	122	99.00%	38	40	6	37	1	42	57	12	37	151
51-008	269	93	31	99.00%	9	13	0	9	0	23	37	5	8	79
51-009	236	28	26	99.00%	0	5	7	14	0	6	4		8	18
51-010	125	12	15	99.00%	3	6	0	6	0		4	2		6
51-011	637	175	130	99.00%	39	59	4	28	0	40	51	7	21	140
51-012	667	197	101	99.00%	31	41	2	27	0	33	52	12	23	120
51-013	471	159	97	99.00%	23	46	3	25	0	26	52	14	25	120
51-014	505	47	69	99.00%	9	14	2	42	2	11	6	1	4	24
51-015	486	40	54	99.00%	10	8	3	30	3	3	3	1	8	15
51-016	536	28	44	99.00%	8	6	3	26	1	6	1	0	6	14
51-017	416	66	57	99.00%	10	32	1	14	0	6	19	1	16	43
51-018	21	2	1	99.00%	0	1	0	0	0					
51-019	85	4	13	99.00%	0	6	2	5	0	25	32	3	24	149
51-020	597	192	104	99.00%	33	43	10	18	0	19	18	9	11	58
51-021	105	41	19	99.00%	7	5	0	7	0	9	16	5	4	34
51-022	138	44	13	99.00%	4	4	3	2	0	11	19	4	2	36
51-023	621	158	97	99.00%	21	37	9	28	2	27	41	9	28	107
51-024	278	45	124	99.00%	34	22	4	64	0	7	2	2	9	20
51-025	0	0	0	99.00%	0	0	0	0	0					
51-026	284	46	83	99.00%	18	10	3	52	0	4	3	1	12	20
51-027	195	25	21	99.00%	4	8	0	8	1	1	10	3	6	21
51-028	118	18	6	99.00%	2	2	1	1	0		15		9	24
51-029	662	77	106	99.00%	13	33	8	51	1	12	7	1	10	30
51-030	388	48	38	99.00%	13	5	5	15	0	12	8	3	9	32
51-031	580	85	96	99.00%	31	27	8	30	0	28	8	1	12	50
51-032	533	66	83	99.00%	20	16	8	38	1	17	6	9	8	40
51-033	748	79	102	99.00%	23	23	20	36	0	12	14	3	16	48
51-034	568	38	64	99.00%	3	11	19	31	0	2	11	2	4	19
51-035	728	103	117	99.00%	13	23	11	70	0	14	36	4	18	72
51-036	727	99	108	99.00%	24	41	6	37	0	22	20	8	11	64
51-037	725	71	127	99.00%	8	59	13	46	1	10	16	6	6	39
51-038	765	168	136	99.00%	34	49	8	45	0	21	58	15	14	108
51-039	548	86	130	99.00%	28	49	15	38	0	8	21	2	6	41
51-040	734	190	166	99.00%	27	86	8	45	0	45	48	12	25	135
51-041	775	166	129	99.00%	39	50	16	24	0	36	56	9	20	124
51-042	730	232	115	99.00%	34	49	6	26	0	67	73	13	21	182
51-043	379	93	52	99.00%	17	14	5	16	0	18	33	8	11	68
51-044	227	68	28	99.00%	7	9	5	7	0	17	17	4	4	46
51-045	19	5	5	99.00%	0	3	1	1	0					2
51-046	29	10	2	99.00%	0	1	0	1	0	2	6	1		9
51-047	378	56	39	99.00%	11	2	13	13	0	5	7	4	8	26
51-048	25	0	0	99.00%	0	0	0	0	0					
51-049	585	158	157	99.00%	63	48	14	31	1	44	37	9	16	108
51-050	371	36	45	99.00%	5	13	5	22	0	4	7	2	3	16
51-051	679	51	127	99.00%	14	27	9	77	0	5	7	3	6	21
51-052	445	43	59	99.00%	5	21	5	28	0	6	12	2	9	29
51-053	358	72	45	99.00%	11	14	2	18	0					
51-054	561	68	90	99.00%	20	19	7	43	1	19	32	7	20	83
51-055	624	147	116	99.00%	23	60	11	22	0	28	58	7	15	108
51-056	31	2	1	99.00%	0	0	0	1	0		1			1
51-057	56	4	1	99.00%	1	0	0	0	0	1	1	1	0	3
51-058	217	24	21	99.00%	4	6	1	10	0	4	3	2	4	13
51-059	352	83	38	99.00%	4	17	3	14	0	16	14	6	21	66
51-060	581	70	77	99.00%	17	21	14	25	0	8	8	2	12	32
51-061	517	66	80	99.00%	16	33	10	21	0	2	15	4	4	33
51-062	415	105	78	99.00%	25	26	8	19	0	19	14	5	19	57
51-063	621	60	103	99.00%	20	20	11	52	0	12	7	4	14	41
51-064	620	47	91	99.00%	16	22	25	28	0	7	9	2	5	25
51-065	700	59	106	99.00%	14	29	18	45	0	5	10	5	8	31
51-066	551	65	62	99.00%	5	19	7	31	0	8	11	2	14	35
51-067	653	78	90	99.00%	15	10	7	58	0	6	7	4	15	34
51-068	155	39	30	99.00%	11	11	3	5	0	9	8		2	19
51-069	598	62	111	99.00%	7	12	12	80	0	3	13		4	21
51-070	707	45	115	99.00%	10	12	17	76	0	2	3	1	13	19
51-071	760	59	130	99.00%	14	16	10	90	0	2	4	3	10	23
51-072	690	136	143	99.00%	32	57	14	40	0		8	22	10	57
51-073	752	90	144	99.00%	48	33	7	56	0		12	17	16	50
51-074	639	34	80	99.00%	9	8	6	57	0	1	4			12
51-075	498	45	66	99.00%	19	16	9	22	0	5	9	5	4	25
51-076	347	90	56	99.00%	15	19	3	19	0	28	16	5	20	79
51-077	481	96	77	99.00%	20	25	7	25	0	20	14	2	17	56
51-078	413	38	59	99.00%	8	17	4	28	2	5	8	1	6	20
51-079	706	119	89	99.00%	10	33	5	41	0	12	37	8	17	76
51-080	219	27	32	99.00%	3	14	3	12	0	4	4	2	3	13
51-081	504	74	65	99.00%	10	22	7	26	0	8	31	7	10	56
51-082	653	137	128	99.00%	28	51	15	33	1	25	51	10	7	95
51-083	617	180	119	99.00%	35	43	11	30	0	35	54	16	18	129
51-084	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0				
51-085	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0				
51-086	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0				
51-087	0	0	0	99.00%	0	0	0	0	0	0	0	0	0	0				
