ad_ed	total_reg_dems	absentee_requested	total	reporting	candidate|Julia Salazar	candidate|Andy J. Marte	candidate|Write-In	absentee|Andy J. Marte	absentee|Julia Salazar	absentee|Write-In	totalAbsentee
53-067	953	176	127	99.00%	117	10	0	4	130	0	134
53-068	694	108	77	99.00%	72	5	0	4	73	0	77
53-069	801	121	96	99.00%	84	12	0	5	67	0	72
53-070	805	98	144	99.00%	128	15	1	9	53	0	62
53-071	642	43	78	99.00%	57	21	0	1	18	0	19
53-072	746	121	40	99.00%	35	5	0	2	125	0	127
53-073	721	70	58	99.00%	50	8	0	4	28	0	32
53-074	819	52	140	99.00%	114	26	0	3	20	0	23
53-075	464	25	56	99.00%	43	13	0	1	13	0	14
53-076	819	177	151	99.00%	141	10	0	5	112	0	117
53-077	832	125	127	99.00%	111	16	0	1	74	0	75
53-079	446	56	59	99.00%	49	9	1	2	17	1	20
53-080	825	104	155	99.00%	140	14	1	1	54	0	55
53-081	421	15	32	99.00%	24	8	0	1	3	0	4
53-082	804	110	70	99.00%	56	14	0	13	113	0	126
53-083	572	58	80	99.00%	71	9	0	1	29	0	30
53-084	662	63	69	99.00%	58	11	0	11	68	0	79
53-085	433	64	67	99.00%	56	11	0	10	28	0	38
53-086	457	54	91	99.00%	45	46	0	3	18	0	21
53-087	842	137	139	99.00%	123	14	2	5	75	0	80
53-088	900	173	135	99.00%	126	7	2	1	123	0	124
53-089	0	0	0	99.00%	0	0	0	0	0	0	0
54-001	259	7	36	99.00%	30	6	0	1	1	0	2
54-007	735	88	126	99.00%	104	21	1	2	48	0	50
54-008	732	61	85	99.00%	62	23	0	1	23	1	25
54-009	694	37	101	99.00%	76	25	0	3	12	0	15
54-010	691	47	117	99.00%	93	24	0	2	22	0	24
54-011	820	64	102	99.00%	90	12	0	5	22	0	27
54-012	684	104	162	99.00%	145	16	1	1	55	0	56
54-013	531	108	112	99.00%	104	8	0	2	61	0	63
54-014	108	12	12	99.00%	11	1	0	1	10	0	11
54-016	35	17	10	99.00%	10	0	0	1	7	0	8
54-017	168	12	38	99.00%	33	5	0	0	7	0	7
54-018	6	0	3	99.00%	2	1	0	0	0	0	0
54-019	729	41	76	99.00%	60	16	0	1	18	0	19
54-020	911	93	140	99.00%	116	24	0	2	46	0	48
54-021	651	66	91	99.00%	82	7	2	3	33	0	36
54-022	704	69	116	99.00%	100	16	0	2	30	0	32
54-023	847	77	122	99.00%	107	13	2	1	34	0	35
54-024	920	132	130	99.00%	120	10	0	10	54	0	64
54-025	964	168	160	99.00%	147	13	0	3	90	0	93
54-027	655	62	99	99.00%	80	19	0	1	38	0	39
54-028	796	94	140	99.00%	113	27	0	3	42	0	45
54-029	750	100	120	99.00%	95	25	0	7	48	0	55
54-030	762	77	104	99.00%	84	20	0	2	31	0	33
54-031	646	77	75	99.00%	64	11	0	8	27	0	35
54-032	603	48	78	99.00%	69	9	0	0	29	0	29
54-033	782	80	88	99.00%	75	13	0	2	52	0	54
54-034	646	67	93	99.00%	74	19	0	1	40	0	41
54-035	652	80	89	99.00%	74	15	0	6	38	0	44
54-036	725	77	98	99.00%	87	10	1	5	43	0	48
54-037	769	66	99	99.00%	83	16	0	5	27	0	32
54-038	667	87	112	99.00%	89	22	1	4	42	0	46
54-039	638	86	86	99.00%	79	7	0	4	34	0	38
54-040	256	43	23	99.00%	17	6	0	4	21	0	25
54-041	857	73	98	99.00%	81	17	0	14	25	0	39
54-042	683	30	93	99.00%	74	19	0	4	13	0	17
54-043	768	71	96	99.00%	74	22	0	5	36	0	41
54-044	750	38	63	99.00%	43	20	0	1	16	0	17
54-045	636	53	71	99.00%	58	13	0	17	17	0	34
54-046	847	37	106	99.00%	81	25	0	2	13	0	15
54-047	680	34	47	99.00%	39	8	0	0	8	0	8
54-048	763	56	60	99.00%	50	10	0	4	22	0	26
54-049	808	69	74	99.00%	57	17	0	6	26	0	32
54-050	788	50	79	99.00%	61	18	0	6	19	0	25
54-051	826	33	84	99.00%	62	22	0	1	17	0	18
54-052	703	41	66	99.00%	47	19	0	5	19	0	24
54-053	698	42	41	99.00%	31	10	0	4	5	0	9
54-054	614	31	45	99.00%	32	13	0	2	13	0	15
54-055	591	36	34	99.00%	29	4	1	3	14	0	17
54-056	544	20	46	99.00%	39	7	0	1	13	0	14
54-057	761	35	73	99.00%	56	15	2	4	9	0	13
54-058	733	35	63	99.00%	43	20	0	3	24	0	27
54-059	708	27	67	99.00%	52	15	0	1	8	0	9
54-060	837	89	101	99.00%	83	16	2	2	45	0	47
54-061	660	82	100	99.00%	76	24	0	9	33	0	42
54-062	734	77	85	99.00%	74	11	0	3	34	0	37
54-063	892	124	109	99.00%	91	17	1	6	57	0	63
54-064	560	73	94	99.00%	80	14	0	5	40	0	45
54-065	696	38	58	99.00%	41	16	1	4	5	0	9
54-066	737	38	78	99.00%	54	23	1	3	20	0	23
54-067	780	32	103	99.00%	76	27	0	2	8	0	10
54-068	914	41	87	99.00%	64	22	1	6	14	0	20
54-069	744	50	78	99.00%	55	23	0	4	23	0	27
54-070	500	10	82	99.00%	56	26	0	0	4	0	4
54-073	657	68	103	99.00%	92	11	0	4	43	0	47
54-074	623	82	113	99.00%	100	13	0	3	33	0	36
54-075	226	17	31	99.00%	25	6	0	0	4	0	4
54-076	870	52	102	99.00%	82	20	0	7	20	0	27
54-077	403	37	59	99.00%	54	5	0	1	19	0	20
54-078	2	0	0	99.00%	0	0	0	0	0	0	0
54-079	475	20	48	99.00%	37	11	0	1	6	0	7
54-080	810	44	59	99.00%	43	15	1	5	14	0	19
54-081	678	41	58	99.00%	46	12	0	2	15	0	17
54-082	596	22	61	99.00%	43	17	1	0	7	0	7
54-083	730	42	78	99.00%	57	21	0	3	16	0	19
54-084	520	91	101	99.00%	98	3	0	1	40	0	41
54-085	689	69	87	99.00%	75	11	1	1	24	0	25
54-086	740	60	95	99.00%	78	17	0	2	29	0	31
54-087	570	50	58	99.00%	51	7	0	1	30	0	31
54-088	590	52	96	99.00%	81	15	0	0	22	0	22
54-089	655	72	85	99.00%	72	13	0	3	29	0	32
55-001	36	3	0	99.00%	0	0	0	0	0	0	0
55-003	198	18	37	99.00%	29	7	1	0	9	0	9
55-006	425	26	87	99.00%	60	26	1	3	6	0	9
55-007	740	100	91	99.00%	81	10	0	7	38	0	45
55-014	716	80	199	99.00%	152	47	0	4	31	0	35
55-015	628	82	110	99.00%	87	23	0	1	42	0	43
55-016	929	62	140	99.00%	110	30	0	2	23	0	25
55-026	241	22	32	99.00%	20	12	0	0	12	0	12
55-041	342	18	47	99.00%	39	8	0	1	4	0	5
55-043	60	0	0	99.00%	0	0	0	0	0	0	0
55-045	693	31	89	99.00%	64	25	0	3	12	0	15
55-046	832	49	117	99.00%	81	36	0	4	8	0	12
55-050	151	2	21	99.00%	16	5	0	2	0	0	2
55-051	72	10	7	99.00%	5	2	0	0	2	0	2
55-054	83	3	10	99.00%	8	2	0	0	3	0	3
55-112	0	0	0	99.00%	0	0	0	0	0	0	0
56-001	677	34	79	99.00%	60	18	1	4	8	0	12
56-002	884	34	95	99.00%	66	29	0	5	13	0	18
56-003	647	34	74	99.00%	59	15	0	0	13	0	13
56-004	664	34	85	99.00%	71	14	0	1	9	0	10
56-006	880	63	134	99.00%	105	29	0	4	26	0	30
56-007	795	35	80	99.00%	62	18	0	6	6	0	12
56-008	857	40	105	99.00%	73	31	1	5	11	0	16
56-009	844	39	95	99.00%	71	22	2	3	15	0	18
56-010	856	38	82	99.00%	59	22	1	2	8	0	10
56-011	899	119	168	99.00%	147	16	5	5	59	0	64
56-017	956	109	139	99.00%	114	23	2	0	45	0	45
56-020	502	55	90	99.00%	70	18	2	2	31	0	33
56-092	19	3	8	99.00%	5	3	0	0	4	0	4
60-006	346	16	47	99.00%	32	15	0	2	8	0	10
60-010	529	15	64	99.00%	51	12	1	1	3	0	4
60-011	84	8	0	99.00%	0	0	0	0	0	0	0
60-016	490	21	57	99.00%	43	14	0	2	8	0	10
60-018	731	36	51	99.00%	34	17	0	2	7	1	10
60-019	415	26	49	99.00%	38	11	0	5	6	2	13
60-020	228	24	16	99.00%	12	4	0	2	12	0	14
