ad_ed	total_reg_dems	absentee_requested	totalAbsentee
57-001	696	55	0
57-002	849	60	0
57-003	732	43	0
57-004	346	108	0
57-005	198	19	0
57-006	780	60	0
57-007	599	34	0
57-008	724	89	0
57-009	733	136	0
57-010	1104	392	0
57-011	759	162	0
57-012	775	54	0
57-013	730	40	0
57-014	750	187	0
57-015	701	203	0
57-016	871	276	0
57-017	980	336	0
57-018	885	263	0
57-019	429	40	0
57-020	40	5	0
57-021	950	206	0
57-022	846	156	0
57-023	642	57	0
57-024	814	255	0
57-025	1230	410	0
57-026	853	278	0
57-027	690	198	0
57-028	628	175	0
57-029	739	228	0
57-030	605	149	0
57-031	1017	259	0
57-032	688	51	0
57-033	498	32	0
57-034	879	299	0
57-035	946	259	0
57-036	976	240	0
57-037	827	181	0
57-038	939	305	0
57-039	920	265	0
57-040	798	226	0
57-041	887	244	0
57-042	781	166	0
57-043	1072	355	0
57-044	896	201	0
57-045	853	148	0
57-046	698	100	0
57-047	517	190	0
57-048	842	234	0
57-049	900	207	0
57-050	761	181	0
57-051	862	199	0
57-052	731	124	0
57-053	729	128	0
57-054	1028	233	0
57-055	812	143	0
57-056	971	214	0
57-057	789	184	0
57-058	771	174	0
57-059	807	164	0
57-060	683	193	0
57-061	1199	459	0
57-062	520	197	0
57-063	715	243	0
57-064	956	333	0
57-065	591	253	0
57-066	749	195	0
57-067	800	199	0
57-068	966	240	0
57-069	994	238	0
57-070	1018	322	0
57-071	581	211	0
57-072	966	283	0
57-073	583	187	0
57-074	889	274	0
57-075	951	246	0
57-076	796	242	0
57-077	337	115	0
57-078	765	220	0
57-079	679	162	0
57-080	769	241	0
57-081	802	203	0
57-082	548	108	0
57-083	834	133	0
57-084	775	183	0
57-085	771	151	0
57-086	396	73	0
57-087	832	175	0
57-088	633	110	0
57-089	744	128	0
57-090	1350	156	0
57-091	745	64	0
57-092	886	185	0
57-093	653	142	0
57-094	465	76	0
57-095	467	101	0
57-096	586	123	0
57-097	451	46	0
57-098	618	36	0
57-099	837	184	0
57-100	717	162	0
57-101	833	197	0
57-102	629	161	0
57-103	639	219	0
57-104	1077	351	0
57-105	783	177	0
57-106	0	0	0
